N1309,Bundesland,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,KPÖ,PIRAT,CPÖ,WANDL,M,EUAUS,SLP,Column
G10101,Burgenland,Eisenstadt,10407,7377,149,7228,1699,2421,1084,155,888,419,433,47,54,28,,,,,
G10201,Burgenland,Rust,1554,1167,21,1146,454,254,237,17,69,73,34,3,3,2,,,,,
G10301,Burgenland,Breitenbrunn am Neusiedler See,1586,1187,23,1164,455,254,171,35,113,64,50,9,9,4,,,,,
G10302,Burgenland,Donnerskirchen,1458,1108,19,1089,332,384,172,23,75,63,30,3,5,2,,,,,
G10303,Burgenland,Großhöflein,1655,1229,27,1202,379,347,192,42,95,94,46,4,3,0,,,,,
G10304,Burgenland,Hornstein,2217,1576,38,1538,616,291,278,47,123,104,60,9,8,2,,,,,
G10305,Burgenland,Klingenbach,909,704,9,695,354,164,92,11,20,38,9,4,1,2,,,,,
G10306,Burgenland,Leithaprodersdorf,974,808,23,785,180,368,106,9,53,36,25,6,0,2,,,,,
G10307,Burgenland,Mörbisch am See,1869,1432,26,1406,550,302,302,22,79,87,41,9,8,6,,,,,
G10308,Burgenland,Müllendorf,1089,851,27,824,323,171,143,25,70,46,29,5,5,7,,,,,
G10309,Burgenland,Neufeld an der Leitha,2449,1813,42,1771,757,205,398,60,142,121,61,12,15,0,,,,,
G10310,Burgenland,Oggau am Neusiedler See,1515,1280,42,1238,501,369,208,15,51,53,30,5,2,4,,,,,
G10311,Burgenland,Oslip,1039,862,16,846,365,257,83,6,62,41,20,8,1,3,,,,,
G10312,Burgenland,Purbach am Neusiedler See,2302,1759,33,1726,537,516,326,39,136,94,62,6,9,1,,,,,
G10313,Burgenland,Sankt Margarethen im Burgenland,2307,1790,42,1748,523,597,317,42,119,90,43,7,10,0,,,,,
G10314,Burgenland,Schützen am Gebirge,1129,903,22,881,256,313,148,17,56,60,20,6,3,2,,,,,
G10315,Burgenland,Siegendorf,2236,1735,43,1692,910,203,248,26,124,116,46,4,12,3,,,,,
G10316,Burgenland,Steinbrunn,1931,1483,27,1456,644,252,243,31,99,98,67,11,11,0,,,,,
G10317,Burgenland,Trausdorf an der Wulka,1576,1244,23,1221,520,268,179,31,95,69,38,9,8,4,,,,,
G10318,Burgenland,Wimpassing an der Leitha,1070,815,9,806,225,188,229,18,54,63,24,2,3,0,,,,,
G10319,Burgenland,Wulkaprodersdorf,1496,1171,33,1138,454,302,129,26,117,60,27,9,12,2,,,,,
G10320,Burgenland,Loretto,384,283,8,275,84,87,58,5,19,18,4,0,0,0,,,,,
G10321,Burgenland,Stotzing,650,452,12,440,162,141,72,14,16,20,10,2,2,1,,,,,
G10322,Burgenland,Zillingtal,745,553,13,540,196,126,80,11,59,35,26,5,2,0,,,,,
G10323,Burgenland,Zagersdorf,794,619,15,604,259,171,72,13,42,32,8,3,2,2,,,,,
G10401,Burgenland,Bocksdorf,676,537,13,524,218,120,92,11,17,55,9,1,1,0,,,,,
G10402,Burgenland,Burgauberg-Neudauberg,1113,848,23,825,258,267,136,15,39,76,20,8,6,0,,,,,
G10403,Burgenland,Eberau,779,613,5,608,153,307,75,7,20,30,14,0,1,1,,,,,
G10404,Burgenland,Gerersdorf-Sulz,858,662,10,652,223,252,65,15,47,35,10,2,3,0,,,,,
G10405,Burgenland,Güssing,3011,2107,38,2069,724,657,311,41,143,131,43,9,5,5,,,,,
G10406,Burgenland,Güttenbach,761,572,15,557,187,216,60,13,34,32,10,3,1,1,,,,,
G10407,Burgenland,Heiligenbrunn,712,547,11,536,140,247,88,5,22,23,9,1,1,0,,,,,
G10408,Burgenland,Kukmirn,1688,1232,30,1202,375,342,195,40,62,143,34,6,4,1,,,,,
G10409,Burgenland,Neuberg im Burgenland,842,653,9,644,278,162,106,14,24,48,7,4,0,1,,,,,
G10410,Burgenland,Neustift bei Güssing,448,339,8,331,168,36,74,1,16,30,4,2,0,0,,,,,
G10411,Burgenland,Olbendorf,1241,916,13,903,496,104,155,16,32,74,16,1,0,9,,,,,
G10412,Burgenland,Ollersdorf im Burgenland,842,714,11,703,274,212,99,1,36,57,20,2,2,0,,,,,
G10413,Burgenland,Sankt Michael im Burgenland,853,662,16,646,202,200,108,15,37,59,19,4,2,0,,,,,
